"","allclustpar.pamobject.clustering"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",3
"7",6
"8",3
"9",7
"10",8
"11",3
"12",6
"13",1
"14",5
"15",6
"16",1
"17",1
"18",5
"19",8
"20",9
"21",3
"22",7
"23",3
"24",3
"25",3
"26",3
"27",5
"28",3
"29",8
"30",9
"31",7
"32",7
"33",7
"34",10
"35",6
"36",4
"37",10
"38",10
"39",8
"40",8
"41",6
"42",5
"43",8
"44",8
"45",3
"46",3
"47",9
"48",5
"49",3
"50",1
"51",4
"52",8
"53",7
"54",7
"55",7
"56",10
"57",5
"58",3
"59",8
"60",3
"61",1
"62",10
"63",8
"64",6
"65",6
"66",9
"67",10
"68",8
"69",9
"70",6
"71",6
"72",1
"73",6
"74",6
"75",2
"76",7
"77",9
"78",5
"79",3
"80",10
"81",5
"82",2
"83",5
"84",3
"85",8
"86",3
"87",6
"88",5
"89",7
"90",8
"91",1
"92",9
"93",6
"94",4
"95",7
"96",6
"97",6
"98",8
"99",7
"100",6
"101",5
"102",6
"103",3
"104",8
"105",1
"106",6
"107",6
"108",4
"109",7
"110",2
"111",9
"112",3
"113",10
"114",1
"115",5
"116",3
"117",5
"118",7
"119",6
"120",10
"121",6
"122",6
"123",5
"124",8
"125",8
"126",7
"127",6
"128",9
"129",7
"130",9
"131",6
"132",5
"133",6
"134",4
"135",7
"136",7
"137",3
"138",1
"139",9
"140",5
"141",2
"142",1
"143",6
"144",6
"145",3
"146",6
"147",2
"148",5
"149",5
"150",6
"151",4
"152",3
"153",5
"154",2
"155",1
"156",5
"157",10
"158",1
"159",3
"160",4
"161",4
"162",3
"163",5
"164",4
"165",2
"166",3
"167",8
"168",1
"169",10
"170",5
"171",1
"172",1
"173",1
"174",5
"175",4
"176",2
"177",10
"178",10
"179",10
"180",4
"181",6
"182",4
"183",4
"184",4
"185",1
"186",4
"187",4
"188",10
"189",6
"190",5
"191",3
"192",5
"193",2
"194",3
"195",6
"196",2
"197",5
"198",5
"199",10
"200",6
"201",1
"202",2
"203",6
"204",2
"205",3
"206",2
"207",1
"208",4
"209",6
"210",5
"211",8
"212",2
"213",4
"214",5
"215",5
"216",4
"217",4
"218",8
"219",8
"220",6
"221",4
"222",9
"223",10
"224",6
"225",10
"226",1
"227",1
"228",2
"229",8
"230",1
"231",5
"232",2
"233",10
"234",6
"235",5
"236",6
"237",10
"238",10
"239",5
"240",10
"241",1
"242",7
"243",2
"244",1
"245",9
"246",5
"247",2
"248",6
"249",4
"250",10
"251",8
"252",6
"253",5
"254",6
"255",8
"256",10
"257",5
"258",6
"259",6
"260",3
"261",2
"262",1
"263",6
"264",5
"265",4
"266",6
"267",5
"268",6
"269",3
"270",6
"271",4
"272",6
"273",5
"274",2
"275",8
"276",10
"277",2
"278",3
"279",5
"280",5
"281",5
"282",8
"283",8
"284",6
"285",1
"286",2
"287",6
"288",1
"289",9
"290",5
"291",1
"292",5
"293",5
"294",3
"295",5
"296",1
"297",5
"298",10
"299",3
"300",5
"301",10
"302",4
"303",5
"304",6
"305",9
"306",2
"307",8
"308",2
"309",2
"310",9
"311",7
"312",3
"313",2
"314",2
"315",8
"316",4
"317",6
"318",5
"319",5
"320",6
"321",7
"322",5
"323",9
"324",5
"325",8
"326",9
"327",4
"328",5
"329",8
"330",7
"331",5
"332",6
"333",2
"334",6
"335",5
"336",5
"337",5
"338",6
"339",5
"340",6
"341",6
"342",10
"343",2
"344",5
"345",4
"346",6
"347",8
"348",5
"349",5
"350",1
"351",2
"352",5
"353",10
"354",7
"355",7
"356",6
"357",8
"358",9
"359",6
"360",2
"361",2
"362",6
"363",5
"364",6
"365",10
"366",3
"367",8
"368",5
"369",6
"370",5
"371",4
"372",5
"373",5
"374",8
"375",5
"376",10
"377",9
"378",10
"379",8
"380",6
"381",2
"382",10
"383",9
"384",5
"385",8
"386",7
"387",5
"388",5
"389",10
"390",7
"391",9
"392",1
"393",5
"394",4
"395",6
"396",5
"397",8
"398",6
"399",7
"400",8
"401",7
"402",5
"403",5
"404",6
"405",6
"406",2
"407",1
"408",1
"409",5
"410",7
"411",3
"412",7
"413",9
"414",2
"415",10
"416",1
"417",3
"418",7
"419",4
"420",8
"421",10
"422",7
"423",1
"424",5
"425",5
"426",2
"427",1
"428",2
"429",7
"430",10
"431",1
"432",3
"433",6
"434",1
"435",10
"436",7
"437",10
"438",7
"439",2
"440",9
"441",3
"442",4
"443",4
"444",4
"445",4
"446",7
"447",3
"448",8
"449",10
