"","dvclustpar.pamobject.clustering"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",3
"7",6
"8",3
"9",7
"10",8
"11",3
"12",7
"13",5
"14",5
"15",7
"16",1
"17",1
"18",5
"19",8
"20",9
"21",3
"22",6
"23",3
"24",3
"25",3
"26",3
"27",5
"28",3
"29",8
"30",4
"31",6
"32",7
"33",10
"34",3
"35",7
"36",9
"37",3
"38",8
"39",8
"40",8
"41",7
"42",5
"43",1
"44",8
"45",3
"46",3
"47",4
"48",5
"49",3
"50",1
"51",4
"52",2
"53",6
"54",7
"55",6
"56",3
"57",1
"58",3
"59",3
"60",3
"61",1
"62",8
"63",8
"64",7
"65",6
"66",4
"67",3
"68",8
"69",9
"70",7
"71",7
"72",1
"73",6
"74",7
"75",2
"76",10
"77",9
"78",5
"79",3
"80",3
"81",5
"82",2
"83",5
"84",3
"85",8
"86",3
"87",7
"88",5
"89",6
"90",5
"91",1
"92",9
"93",6
"94",9
"95",10
"96",7
"97",7
"98",8
"99",6
"100",7
"101",5
"102",7
"103",3
"104",3
"105",1
"106",6
"107",7
"108",9
"109",10
"110",2
"111",9
"112",3
"113",3
"114",1
"115",5
"116",3
"117",5
"118",7
"119",6
"120",3
"121",6
"122",6
"123",5
"124",8
"125",6
"126",6
"127",7
"128",7
"129",6
"130",9
"131",7
"132",5
"133",6
"134",4
"135",10
"136",6
"137",3
"138",1
"139",9
"140",5
"141",2
"142",1
"143",7
"144",7
"145",3
"146",7
"147",2
"148",5
"149",1
"150",7
"151",2
"152",5
"153",5
"154",2
"155",1
"156",5
"157",8
"158",1
"159",3
"160",6
"161",6
"162",3
"163",1
"164",4
"165",2
"166",3
"167",8
"168",1
"169",3
"170",5
"171",1
"172",8
"173",8
"174",5
"175",6
"176",2
"177",3
"178",3
"179",3
"180",9
"181",7
"182",4
"183",9
"184",9
"185",3
"186",2
"187",4
"188",3
"189",7
"190",5
"191",3
"192",5
"193",2
"194",3
"195",7
"196",2
"197",8
"198",5
"199",3
"200",7
"201",1
"202",2
"203",7
"204",2
"205",3
"206",2
"207",1
"208",4
"209",6
"210",5
"211",8
"212",2
"213",4
"214",5
"215",5
"216",9
"217",4
"218",8
"219",8
"220",7
"221",9
"222",4
"223",3
"224",7
"225",3
"226",1
"227",1
"228",2
"229",8
"230",5
"231",5
"232",2
"233",3
"234",7
"235",5
"236",6
"237",3
"238",3
"239",5
"240",8
"241",1
"242",10
"243",2
"244",5
"245",9
"246",5
"247",2
"248",8
"249",9
"250",8
"251",8
"252",7
"253",5
"254",7
"255",8
"256",3
"257",5
"258",7
"259",7
"260",3
"261",2
"262",1
"263",7
"264",5
"265",4
"266",7
"267",5
"268",6
"269",3
"270",7
"271",9
"272",8
"273",5
"274",2
"275",8
"276",3
"277",2
"278",3
"279",5
"280",5
"281",5
"282",8
"283",8
"284",7
"285",1
"286",2
"287",7
"288",1
"289",4
"290",5
"291",1
"292",5
"293",5
"294",1
"295",5
"296",1
"297",5
"298",8
"299",3
"300",5
"301",8
"302",8
"303",5
"304",7
"305",4
"306",2
"307",7
"308",2
"309",2
"310",4
"311",6
"312",3
"313",2
"314",2
"315",8
"316",9
"317",7
"318",5
"319",5
"320",7
"321",6
"322",5
"323",4
"324",5
"325",8
"326",4
"327",9
"328",5
"329",2
"330",10
"331",5
"332",7
"333",2
"334",7
"335",5
"336",5
"337",5
"338",7
"339",5
"340",6
"341",7
"342",8
"343",2
"344",5
"345",9
"346",7
"347",8
"348",5
"349",5
"350",1
"351",2
"352",5
"353",2
"354",6
"355",10
"356",6
"357",8
"358",9
"359",7
"360",2
"361",2
"362",6
"363",5
"364",7
"365",5
"366",3
"367",8
"368",5
"369",7
"370",5
"371",4
"372",5
"373",5
"374",8
"375",5
"376",3
"377",4
"378",3
"379",8
"380",7
"381",2
"382",3
"383",6
"384",5
"385",8
"386",6
"387",5
"388",5
"389",3
"390",6
"391",4
"392",1
"393",5
"394",4
"395",7
"396",5
"397",5
"398",7
"399",6
"400",5
"401",7
"402",5
"403",5
"404",7
"405",7
"406",2
"407",1
"408",1
"409",5
"410",10
"411",3
"412",10
"413",4
"414",9
"415",3
"416",1
"417",3
"418",10
"419",6
"420",2
"421",3
"422",10
"423",1
"424",5
"425",5
"426",2
"427",1
"428",2
"429",6
"430",3
"431",1
"432",3
"433",7
"434",1
"435",3
"436",6
"437",1
"438",6
"439",2
"440",4
"441",3
"442",9
"443",4
"444",9
"445",9
"446",10
"447",3
"448",8
"449",3
