NPI2 Threshold,NPI2 Flow Threshold,NPI Threshold,NPI Flow Threshold,Brisbane to Nth Pine Threshold,Brisbane to Nth Pine Flow Threshold,Maroochy to Baroon Threshold,Ewen Maddock to Baroon Threshold,EPI Threshold,EPI Flow Threshold,SPI Threshold,SPI Flow Threshold,PRW Threshold,Desalination 1/3 Production Threshold,Desalination 2/3 Production Threshold,Desalination Full Production Threshold,Total Spill Volume (GL),Minimum System Storage (GL),Total Cost ($ million),Switching Cost ($ million),Pumping Cost ($ million),Desalination Cost ($ million),Treatment Cost ($ million),PRW Cost ($ million),Desalination Total Production Volume (GL),PRW Inflow (GL),Two Way Pipeline Flow (GL),Total Switch Count,Brisbane to Nth Pine Switch Count,EPI Switch Count,Ewen to Baroon Switch Count,Maroochy to Baroon Switch Count,NPI2 Switch Count,NPI Switch Count,SPI Switch Count,Environmental Flow Deficit,Total Volumetric Reliability
0.8812793729,0.7988820892,0.9897762969,0.998206625,0.5888174886,0.0044716315,0.9220572901,0.914719596,0.8078224125,0.4899117099,0.3878743943,0.0506754467,0.5682657226,0.0738575615,0.7692078855,0.9446262172,483.71149031,439.924663247,5529.99595321,0.12,32.9319834149,338.18947932,4506.71706136,652.03742912,485.716,0.232,0.189897,3,0,0,1,1,1,0,0,36422.3471877,0.9226846949
0.9400255469,0.9658036043,0.7773363477,0.2057408059,0.9923711953,0.0378821242,0.8679218326,0.8871763131,0.0111663703,0.972934216,0.176238745,0.000412561,0.0527637485,0.0126438813,0.0263506594,0.0729574857,324.793368004,307.303878757,5200.79928236,0.28,24.5977728107,1.2114728472,4522.67260759,652.03742912,14.57148,0.232,0.304897,7,0,0,3,3,1,0,0,39306.1547451,0.9154562434
0.8961429912,0.5976030878,0.9476361768,0.9853945842,0.709463433,0.0239764744,0.9692603476,0.8957698356,0.8136333968,0.7419796682,0.5584264523,0.0212943114,0.5871150477,0.9148801986,0.957664099,0.3009905696,502.689594295,420.928450779,5477.50612172,0.12,25.0120251487,294.746317505,4505.59034995,652.03742912,420.78008,0.232,0.189897,3,0,0,1,1,1,0,0,36311.4644458,0.9070922578
0.8668519955,0.8453010424,0.9243701012,0.3663589428,0.6435588941,0.003537609,0.9866822524,0.8639476544,0.5075796416,0.9774208718,0.1818554282,0.8135180703,0.679885521,0.0594789739,0.2736907012,0.0855500371,314.207004452,314.793324717,5368.47035757,0.28,46.5038855642,144.600055606,4525.04898728,652.03742912,208.29396,0.232,0.144897,7,0,0,3,1,3,0,0,39153.4136653,0.9483559908
0.9936316637,0.9158190801,0.9222212159,0.9863677068,0.170905128,0.0232699532,0.9119767835,0.7213251544,0.4106561839,0.3408610662,0.4248351963,0.0399397386,0.6601552105,0.0944491104,0.9730718985,0.2951604587,464.489571807,418.68598394,5485.72231678,0.2,30.9528435781,292.991649409,4509.54039467,652.03742912,418.15732,0.232,0.189897,5,0,0,3,1,1,0,0,36301.0590238,0.9216295145
0.8497471604,0.726275407,0.9262675376,0.9889283045,0.7825870105,0.0700165421,0.9122003085,0.8958150901,0.7664460108,0.9994530086,0.8329779788,0.1201133973,0.8039157387,0.8093249859,0.2530869913,0.6430319546,401.814104979,427.268116647,5539.65270412,0.44,40.6706096712,338.18947932,4508.31518601,652.03742912,485.716,0.232,0.349897,11,0,0,1,1,9,0,0,36396.0615653,0.9457771505
0.9031446365,0.8930912617,0.8234183826,0.616394938,0.532450411,0.6642928188,0.9712936617,0.9888332027,0.4128929034,0.466313503,0.8721118357,0.4474051163,0.9276236991,0.0005638196,0.0643454752,0.0735851077,303.861850664,130.842202785,5245.96666281,0.12,51.0882132706,18.1895542248,4524.5314662,652.03742912,38.30932,0.232,0.349897,3,0,0,1,1,1,0,0,39236.4362242,0.9389281694
0.9903366467,0.5818750842,0.9319461282,0.9258798549,0.6092823968,0.0512828083,0.9313193896,0.8704597706,0.4168745499,0.7830942884,0.3949706475,0.0304513509,0.4520682363,0.955477174,0.6014955355,0.0389482916,425.425860996,404.499474901,5422.59944462,0.12,27.8915729884,227.705895094,4514.84454742,652.03742912,320.57256,0.232,0.349897,3,0,0,1,1,1,0,0,36844.3889325,0.9366968906
0.8983351643,0.998021914,0.8738892282,0.9984585959,0.7995417816,0.4385707316,0.938184357,0.9036973618,0.0304936113,0.9563099241,0.8175415915,0.6841251023,0.8613490763,0.2188761883,0.5216882047,0.0600042128,307.111060112,249.003802513,5424.04653679,0.12,51.7684711562,209.348187266,4510.77244924,652.03742912,295.77072,0.232,0.349897,3,0,0,1,1,1,0,0,36369.4155626,0.9381830648
0.9433268713,0.9760216707,0.9786580536,0.9957488394,0.9442720983,4.27139271078e-05,0.8377642734,0.8942025995,0.2282982961,0.9389761161,0.9483535165,0.0111655027,0.0081240101,0.1260760051,0.1776079503,0.0912472166,358.50181971,351.846694805,5190.32449021,0.2,24.9364848283,10.6384038936,4502.51217236,652.03742912,27.30756,0.0,0.180172,5,0,0,1,3,1,0,0,36365.8058497,0.8179636253
