"","X.TwoWayPipelines.NPI2.NPI2Threshold","X.TwoWayPipelines.NPI2.NPI2FlowThreshold","X.TwoWayPipelines.NPI.NPIThreshold","X.TwoWayPipelines.NPI.NPIFlowThreshold","X.TwoWayPipelines.BrisbanetoNthPineInterconnector.BrisbanetoNthPineThreshold","X.TwoWayPipelines.BrisbanetoNthPineInterconnector.BrisbanetoNthPineFlowThreshold","X.TwoWayPipelines.MaroochytoBaroonInterconnector.MaroochytoBaroonThreshold","X.TwoWayPipelines.EwenMaddocktoBaroonInterconnector.EwenMaddocktoBaroonThreshold","X.TwoWayPipelines.EPI.EPIThreshold","X.TwoWayPipelines.EPI.EPIFlowThreshold","X.TwoWayPipelines.SPI.SPIThreshold","X.TwoWayPipelines.SPI.SPIFlowThreshold","X.WCRWS.PRWThreshold","X.TugunDesalination.TugunDesalOneThirdThreshold","X.TugunDesalination.TugunDesalTwoThirdsThreshold","X.TugunDesalination.TugunDesalFullThreshold","X.SpillVolumes.TotalSpillVolume","X.MinimumSystemStorageNegation","X.Costs.TotalCost","X.Costs.SwitchingCost","X.Costs.PumpingCost","X.Costs.TugunDesalCost","X.Costs.TreatmentCost","X.Costs.PRWCost","X.TugunDesalination.TugunDesalProductionTotal","X.WCRWS.PRWInflow","X.TwoWayPipelines.TwoWayPipelineFlows","X.SwitchCounts.TotalSwitchCount","X.SwitchCounts.BrisbanetoNthPineSwitchCount","X.SwitchCounts.EPISwitchCount","X.SwitchCounts.EwentoBaroonSwitchCount","X.SwitchCounts.MaroochytoBaroonSwitchCount","X.SwitchCounts.NPI2SwitchCount","X.SwitchCounts.NPISwitchCount","X.SwitchCounts.SPISwitchCount","X.EnvironmentalFlows.EnvFlowDeficit","X.Reliability.TotalVolumetricReliability"
"1",0.8812793729,0.7988820892,0.9897762969,0.998206625,0.5888174886,0.0044716315,0.9220572901,0.914719596,0.8078224125,0.4899117099,0.3878743943,0.0506754467,0.5682657226,0.0738575615,0.7692078855,0.9446262172,483711.49031013,439924.663247418,5529995953.21048,120000,32931983.4149075,338189479.320011,4506717061.35559,652037429.11997,485716,232,189.897,3,0,0,1,1,1,0,0,36422.3471877334,0.9226846949
"4",0.9400255469,0.9658036043,0.7773363477,0.2057408059,0.9923711953,0.0378821242,0.8679218326,0.8871763131,0.0111663703,0.972934216,0.176238745,0.000412561,0.0527637485,0.0126438813,0.0263506594,0.0729574857,324793.368004136,307303.878756697,5200799282.36479,280000,24597772.8106527,1211472.84720004,4522672607.58697,652037429.11997,14571.4799999993,232,304.897,7,0,0,3,3,1,0,0,39306.1547450901,0.9154562434
"5",0.8961429912,0.5976030878,0.9476361768,0.9853945842,0.709463433,0.0239764744,0.9692603476,0.8957698356,0.8136333968,0.7419796682,0.5584264523,0.0212943114,0.5871150477,0.9148801986,0.957664099,0.3009905696,502689.594294538,420928.450779214,5477506121.71973,120000,25012025.1487157,294746317.504796,4505590349.94625,652037429.11997,420780.08000001,232,189.897,3,0,0,1,1,1,0,0,36311.4644458056,0.9070922578
"7",0.8668519955,0.8453010424,0.9243701012,0.3663589428,0.6435588941,0.003537609,0.9866822524,0.8639476544,0.5075796416,0.9774208718,0.1818554282,0.8135180703,0.679885521,0.0594789739,0.2736907012,0.0855500371,314207.004452446,314793.324716572,5368470357.57044,280000,46503885.5642281,144600055.605603,4525048987.28064,652037429.11997,208293.959999999,232,144.897,7,0,0,3,1,3,0,0,39153.4136652889,0.9483559908
"8",0.9936316637,0.9158190801,0.9222212159,0.9863677068,0.170905128,0.0232699532,0.9119767835,0.7213251544,0.4106561839,0.3408610662,0.4248351963,0.0399397386,0.6601552105,0.0944491104,0.9730718985,0.2951604587,464489.571807337,418685.983939539,5485722316.77839,200000,30952843.5781194,292991649.409195,4509540394.67111,652037429.11997,418157.32000001,232,189.897,5,0,0,3,1,1,0,0,36301.0590237742,0.9216295145
"9",0.8497471604,0.726275407,0.9262675376,0.9889283045,0.7825870105,0.0700165421,0.9122003085,0.8958150901,0.7664460108,0.9994530086,0.8329779788,0.1201133973,0.8039157387,0.8093249859,0.2530869913,0.6430319546,401814.104979375,427268.116647037,5539652704.12396,440000,40670609.6711972,338189479.320011,4508315186.01279,652037429.11997,485716,232,349.897,11,0,0,1,1,9,0,0,36396.0615653215,0.9457771505
"10",0.9031446365,0.8930912617,0.8234183826,0.616394938,0.532450411,0.6642928188,0.9712936617,0.9888332027,0.4128929034,0.466313503,0.8721118357,0.4474051163,0.9276236991,0.0005638196,0.0643454752,0.0735851077,303861.850664024,130842.20278525,5245966662.81363,120000,51088213.2706499,18189554.2248001,4524531466.19821,652037429.11997,38309.3199999994,232,349.897,3,0,0,1,1,1,0,0,39236.4362242077,0.9389281694
"11",0.9903366467,0.5818750842,0.9319461282,0.9258798549,0.6092823968,0.0512828083,0.9313193896,0.8704597706,0.4168745499,0.7830942884,0.3949706475,0.0304513509,0.4520682363,0.955477174,0.6014955355,0.0389482916,425425.860996323,404499.474900925,5422599444.62322,120000,27891572.9883987,227705895.093592,4514844547.42126,652037429.11997,320572.560000015,232,349.897,3,0,0,1,1,1,0,0,36844.3889324998,0.9366968906
"12",0.8983351643,0.998021914,0.8738892282,0.9984585959,0.7995417816,0.4385707316,0.938184357,0.9036973618,0.0304936113,0.9563099241,0.8175415915,0.6841251023,0.8613490763,0.2188761883,0.5216882047,0.0600042128,307111.060111642,249003.802512698,5424046536.78751,120000,51768471.1562096,209348187.266395,4510772449.24493,652037429.11997,295770.720000007,232,349.897,3,0,0,1,1,1,0,0,36369.4155625682,0.9381830648
"14",0.9433268713,0.9760216707,0.9786580536,0.9957488394,0.9442720983,4.27139271078244e-05,0.8377642734,0.8942025995,0.2282982961,0.9389761161,0.9483535165,0.0111655027,0.0081240101,0.1260760051,0.1776079503,0.0912472166,358501.819710008,351846.694804637,5190324490.20522,200000,24936484.8282871,10638403.8935981,4502512172.36337,652037429.11997,27307.5600000032,0,180.172,5,0,0,1,3,1,0,0,36365.805849697,0.8179636253
