,219,510,139,406,472,673,671,296,349
NPI2 Threshold,0.83,0.97,1.00,0.85,0.97,0.96,0.93,0.95,0.89
NPI2 Flow Threshold,1.00,0.71,0.59,0.70,0.46,0.97,0.98,0.66,0.62
NPI Threshold,0.93,0.90,0.86,0.90,0.85,0.94,0.85,0.92,0.89
NPI Flow Threshold,0.88,0.96,0.59,0.00,0.37,0.98,1.00,0.99,1.00
Brisbane to Nth Pine Threshold,0.47,0.02,0.59,0.48,0.14,0.28,0.48,0.66,0.91
Brisbane to Nth Pine Flow Threshold,0.03,0.03,0.00,0.00,0.00,0.00,0.43,0.05,0.05
Maroochy to Baroon Threshold,0.96,0.80,0.99,0.06,0.99,0.97,1.00,0.97,1.00
Ewen Maddock to Baroon Threshold,0.64,0.86,0.64,0.45,0.82,0.96,1.00,0.78,0.99
EPI Threshold,0.17,0.33,0.06,0.07,0.36,0.14,0.67,0.34,0.19
EPI Flow Threshold,0.42,0.84,0.67,0.00,0.54,0.65,0.54,0.82,0.74
SPI Threshold,0.71,0.99,0.61,0.82,0.64,0.81,0.76,0.66,0.06
SPI Flow Threshold,0.01,0.01,0.83,0.00,0.00,0.00,0.71,0.00,0.00
PRW Threshold,0.73,0.95,0.99,0.02,0.02,0.02,0.54,0.82,0.86
Desalination 1/3 Production Threshold,0.05,0.71,0.06,0.05,0.04,0.12,0.05,0.15,0.37
Desalination 2/3 Production Threshold,0.01,0.02,0.11,0.10,0.03,0.14,0.18,0.51,0.93
Desalination Full Production Threshold,0.01,0.04,0.02,0.01,0.02,0.18,0.12,0.55,0.22
Total Spill Volume (GL),339.18,373.38,317.74,376.48,327.68,357.31,303.96,494.71,434.17
Minimum System Storage (GL),344.03,378.83,268.05,325.85,330.01,359.06,200.58,430.28,412.77
Total Cost ($ million),5207.25,5318.24,5234.56,5169.60,5181.14,5200.57,5338.28,5506.50,5435.50
Switching Cost ($ million),0.28,0.20,0.12,0.16,0.20,0.12,0.12,0.20,0.16
Pumping Cost ($ million),25.16,25.64,46.48,18.24,23.09,24.88,51.71,26.32,28.09
Desalination Cost ($ million),1.21,119.45,1.21,1.21,1.21,20.77,117.15,321.95,242.41
Treatment Cost ($ million),4528.55,4520.91,4534.71,4497.95,4504.61,4502.76,4517.27,4505.99,4512.80
PRW Cost ($ million),652.04,652.04,652.04,652.04,652.04,652.04,652.04,652.04,652.04
Desalination Total Production Volume (GL),14.57,160.29,14.57,14.57,14.57,41.92,172.87,463.01,342.55
PRW Inflow (GL),0.23,0.23,0.23,0.00,0.00,0.00,0.23,0.23,0.23
Two Way Pipeline Flow (GL),0.35,0.35,0.14,0.12,0.14,0.18,0.35,0.35,0.37
Total Switch Count,7.00,5.00,3.00,4.00,5.00,3.00,3.00,5.00,4.00
Brisbane to Nth Pine Switch Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPI Switch Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ewen to Baroon Switch Count,3.00,1.00,1.00,3.00,3.00,1.00,1.00,3.00,1.00
Maroochy to Baroon Switch Count,1.00,3.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00
NPI2 Switch Count,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
NPI Switch Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
SPI Switch Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Environmental Flow Deficit,37075.54,36244.00,38408.28,36410.01,38710.35,36337.46,36428.69,36356.31,35644.97
Total Volumetric Reliability,0.93,0.92,0.95,0.81,0.83,0.82,0.94,0.93,0.94
